帧,流量,密度,平均速度,TPI
1685,63,9,17.51700837477656,3.83482166231824
1718,57,9,18.39663382653916,4.579403755569358
1751,56,8,19.24148269521531,4.100144380374339
1784,58,8,26.6726179228396,3.2320373201126875
1817,56,8,19.03555623022561,4.6904704651573015
1850,53,10,20.63737574007924,2.925631594394482
1883,54,9,19.36653762165379,1.608348831198474
1916,56,13,19.91313326677304,0.7174016310909423
1949,57,8,29.73918473103562,0.07551027559757585
35,23,9,25.20078846837188,6.08676607640031
68,32,9,25.11819339824302,4.3892487907873114
101,42,9,22.85339830503328,3.852714501030127
134,54,9,21.50526428975193,3.487518171805976
167,61,8,20.81622900384767,3.0493231903017968
200,62,9,24.40070078871814,2.6770780565189223
233,63,11,22.34039815112692,3.006866874985157
266,56,10,23.92926116789158,2.889468950074958
299,54,7,23.19174579704032,2.9528385694112314
332,53,10,23.30607087477656,3.2787634925767066
365,54,10,21.44663954374801,3.654202804616838
398,52,8,20.09256351924647,4.228506650241749
431,56,11,25.36112168620273,2.9798141228328188
464,51,9,24.48434160737212,3.3891208302647495
497,61,10,26.68302196378859,2.714318850634161
530,66,11,24.56398498699896,2.610374992296637
563,67,7,28.10518586762202,2.346196848440978
596,65,10,21.37004426679975,3.457031822423381
629,64,10,16.6973226237721,4.312068564662761
662,64,8,19.30908997719966,3.885799387158978
695,67,13,18.23405287000949,4.258065477723698
728,61,8,22.79714395656838,3.176986978990808
761,61,7,14.15645678887312,5.336150474173176
794,60,9,18.84875835337906,4.4211577108151525
827,57,9,17.601473052964,4.983633925505033
860,50,7,16.734375,5.739084967320261
893,48,10,17.7407988459772,5.871588284779346
926,51,10,19.55766445860311,5.215346659408087
959,55,11,22.24102263295677,4.252584053471838
992,57,9,22.07168364184464,4.134852572900937
1025,61,9,24.27907214830838,3.793322911730569
1058,63,10,25.55268765890803,3.758185726434456
1091,62,10,19.75282051076258,4.7620802344546185
1124,60,9,17.07528884112996,5.077512937360222
1157,56,10,19.09579813456394,4.490516677843911
1190,56,10,18.1377011549378,4.536722354327293
1223,56,9,21.0299991109847,3.1400721387202313
1256,55,9,26.03569921888905,2.234693898276676
1289,55,9,23.62059670091501,2.587880124336774
1322,58,10,20.51768714991342,2.825148703060516
1355,58,7,25.1023952498557,2.197894393899347
1388,57,7,18.44764587429989,3.355156384931106
1421,51,9,18.35513474793354,4.136257764928606
1454,52,9,21.82987877259711,3.4109918445818175
1487,47,10,14.57148461458765,6.450955581142069
1520,44,8,22.2446991774825,5.525320433800576
1553,48,9,22.70934542556837,4.961246771111936
1586,52,8,18.7678676890072,5.9758438205282856
1619,50,10,17.06505543663859,6.835020280659299
1652,61,12,21.74381999978948,3.7696786082458225
1685,63,9,17.51700837477656,3.83482166231824
1718,57,9,18.39663382653916,4.579403755569358
1751,56,8,19.24148269521531,4.100144380374339
1784,58,8,26.6726179228396,3.2320373201126875
1817,56,8,19.03555623022561,4.6904704651573015
1850,53,10,20.63737574007924,2.925631594394482
1883,54,9,19.36653762165379,1.608348831198474
1916,56,13,19.91313326677304,0.7174016310909423
1949,57,8,29.73918473103562,0.07551027559757585
